🇨🇳央视频道,#genre#
CCTV-4K,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225761/10000100000000060000000014254011_0.smil
CCTV-1 综合,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225620/10000100000000060000000014261464_0.smil
CCTV-2 财经,rtsp://222.161.239.170:554/PLTV/88888888/224/3221225799/10000100000000060000000014274939_0.smil
CCTV-3 综艺,rtsp://222.161.239.171:554/PLTV/88888888/224/3221226127/10000100000000060000000015558809_0.smil
CCTV-4 中文国际,rtsp://222.161.239.171:554/PLTV/88888888/224/3221226245/10000100000000060000000016631556_0.smil
CCTV-4 欧洲,rtsp://222.161.239.170:554/PLTV/88888888/224/3221226231/10000100000000060000000016336628_0.smil
CCTV-4 美洲,rtsp://222.161.239.170:554/PLTV/88888888/224/3221225894/10000100000000060000000016336632_0.smil
CCTV-5 体育,rtsp://222.161.239.170:554/PLTV/88888888/224/3221226129/10000100000000060000000015558810_0.smil
CCTV-5+ 体育赛事,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225720/10000100000000060000000014868371_0.smil
CCTV-6 电影,rtsp://222.161.239.170:554/PLTV/88888888/224/3221226131/10000100000000060000000015558811_0.smil
CCTV-7 国防军事,rtsp://222.161.239.170:554/PLTV/88888888/224/3221226239/10000100000000060000000016498531_0.smil
CCTV-8 电视剧,rtsp://222.161.239.170:554/PLTV/88888888/224/3221226133/10000100000000060000000015558812_0.smil
CCTV-9 记录,rtsp://222.161.239.170:554/PLTV/88888888/224/3221225803/10000100000000060000000014274943_0.smil
CCTV-10 科教,rtsp://222.161.239.170:554/PLTV/88888888/224/3221225805/10000100000000060000000014274956_0.smil
CCTV-11 戏曲,rtsp://222.161.239.170:554/PLTV/88888888/224/3221225904/10000100000000060000000016631568_0.smil
CCTV-12 社会与法,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225807/10000100000000060000000014274957_0.smil
CCTV-13 新闻,rtsp://222.161.239.171:554/PLTV/88888888/224/3221226247/10000100000000060000000016631575_0.smil
CCTV-14 少儿,rtsp://222.161.239.170:554/PLTV/88888888/224/3221225809/10000100000000060000000014274958_0.smil
CCTV-15 音乐,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225854/10000100000000060000000015317262_0.smil
CCTV-16 奥林匹克,rtsp://222.161.239.171:554/PLTV/88888888/224/3221226241/10000100000000060000000016498536_0.smil
CCTV-16 4K,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225902/10000100000000060000000016498622_0.smil
CCTV-17 农村农业,rtsp://222.161.239.170:554/PLTV/88888888/224/3221225801/10000100000000060000000014274940_0.smil
CCTV-风云足球,rtsp://222.161.239.170:554/PLTV/88888888/224/3221225747/10000100000000060000000014253997_0.smil
CCTV-风云音乐,rtsp://222.161.239.170:554/PLTV/88888888/224/3221225751/10000100000000060000000014254005_0.smil
CCTV-风云剧场,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225829/10000100000000060000000014313392_0.smil
CCTV-世界地理,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225783/10000100000000060000000014254033_0.smil
CCTV-怀旧剧场,rtsp://222.161.239.170:554/PLTV/88888888/224/3221225757/10000100000000060000000014254008_0.smil
CCTV-第一剧场,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225779/10000100000000060000000014254031_0.smil
CCTV-央视台球,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225743/10000100000000060000000014253990_0.smil
CCTV-高尔夫·网球,rtsp://222.161.239.171:554/PLTV/88888888/224/3221226213/10000100000000060000000015869929_0.smil
CCTV-女性时尚,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225745/10000100000000060000000014253993_0.smil
CCTV-文化精品,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225767/10000100000000060000000014254016_0.smil
CCTV-兵器科技,rtsp://222.161.239.170:554/PLTV/88888888/224/3221225769/10000100000000060000000014254019_0.smil
CCTV-电视指南,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225831/10000100000000060000000014313398_0.smil
CGTN,rtsp://222.161.239.170:554/PLTV/88888888/224/3221226233/10000100000000060000000016336637_0.smil
CGTN-纪录,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225896/10000100000000060000000016336641_0.smil
CGTN-法语,rtsp://222.161.239.171:554/PLTV/88888888/224/3221226235/10000100000000060000000016336646_0.smil
CGTN-俄语,rtsp://222.161.239.171:554/PLTV/88888888/224/3221226237/10000100000000060000000016336658_0.smil
CGTN-西语,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225898/10000100000000060000000016336645_0.smil
CGTN-阿语,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225900/10000100000000060000000016336654_0.smil
🌋吉视频道,#genre#
吉林卫视,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225835/10000100000000060000000014698360_0.smil
吉林卫视-都市,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225795/10000100000000060000000014254371_0.smil
吉林卫视-生活,rtsp://222.161.239.171:554/PLTV/88888888/224/3221226013/10000100000000060000000015242249_0.smil
吉林卫视-影视,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225852/10000100000000060000000015242246_0.smil
吉林卫视-乡村,rtsp://222.161.239.171:554/PLTV/88888888/224/3221226015/10000100000000060000000015242250_0.smil
吉林卫视-综艺·文化,rtsp://222.161.239.171:554/PLTV/88888888/224/3221226029/10000100000000060000000015242271_0.smil
吉林教育,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225846/10000100000000060000000015213097_0.smil
长影频道,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225848/10000100000000060000000015213098_0.smil
🏳️‍🌈卫视频道,#genre#
北京卫视,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225811/10000100000000060000000014274961_0.smil
北京卫视-4K超高清,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225524/10000100000000060000000000029584_0.smil
